achiev,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,negate,negemo,netspeak,nonflu,number,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
11.11111111111111,,,5.555555555555555,,,,,,5.555555555555555,,,,,22.22222222222222,,5.555555555555555,,11.11111111111111,,11.11111111111111,,,,,5.555555555555555,,5.555555555555555,,50.0,,,,11.11111111111111,,,5.555555555555555,,5.555555555555555,,,,,5.555555555555555,,,,5.555555555555555,,5.555555555555555,5.555555555555555,11.11111111111111,16.666666666666664,16.666666666666664,,11.11111111111111,,,,,,,,,5.555555555555555,,5.555555555555555,,5.555555555555555,11.11111111111111,,16.666666666666664,
,5.88235294117647,5.88235294117647,17.647058823529413,17.647058823529413,,5.88235294117647,,,,,,,,17.647058823529413,,11.76470588235294,,,,17.647058823529413,5.88235294117647,,,,,,5.88235294117647,5.88235294117647,29.411764705882355,,,,,,,5.88235294117647,,5.88235294117647,,5.88235294117647,,,,11.76470588235294,,,,,5.88235294117647,,,11.76470588235294,5.88235294117647,5.88235294117647,,,,,5.88235294117647,,,,23.52941176470588,,,11.76470588235294,,,11.76470588235294,,,
,9.090909090909092,,22.727272727272727,,,9.090909090909092,,,9.090909090909092,,,,4.545454545454546,13.636363636363635,,4.545454545454546,,,,,4.545454545454546,,4.545454545454546,,,,9.090909090909092,,31.818181818181817,,,,13.636363636363635,4.545454545454546,,,,,,,,,,9.090909090909092,4.545454545454546,,,,13.636363636363635,,13.636363636363635,9.090909090909092,13.636363636363635,4.545454545454546,9.090909090909092,,,,,,,,4.545454545454546,4.545454545454546,,9.090909090909092,,4.545454545454546,9.090909090909092,,,
,,,8.333333333333332,,,,,,,16.666666666666664,8.333333333333332,8.333333333333332,,25.0,,12.5,,12.5,4.166666666666666,4.166666666666666,,,,,,,,,54.166666666666664,8.333333333333332,,,20.833333333333336,,,,,,8.333333333333332,,,,12.5,4.166666666666666,,,,,4.166666666666666,,20.833333333333336,8.333333333333332,20.833333333333336,,,,,4.166666666666666,,,,,,,,,,,,,,
5.263157894736842,,5.263157894736842,5.263157894736842,10.526315789473683,,,5.263157894736842,,,,,5.263157894736842,,10.526315789473683,,10.526315789473683,,5.263157894736842,5.263157894736842,21.052631578947366,,,5.263157894736842,,,5.263157894736842,5.263157894736842,5.263157894736842,47.368421052631575,,,,,10.526315789473683,,,,,5.263157894736842,,,,,,10.526315789473683,,,,5.263157894736842,5.263157894736842,15.789473684210526,10.526315789473683,15.789473684210526,,10.526315789473683,,5.263157894736842,,,,,5.263157894736842,26.31578947368421,,,5.263157894736842,,10.526315789473683,10.526315789473683,,,10.526315789473683
,10.0,,10.0,,,,5.0,,,,,5.0,,15.0,,,,,,15.0,,5.0,,,,,,,15.0,,,,,,,15.0,,,10.0,,,5.0,,5.0,,,,5.0,5.0,,,10.0,,,10.0,,10.0,5.0,,,,,,,,,,5.0,,,15.0,
,,5.88235294117647,23.52941176470588,,,5.88235294117647,5.88235294117647,,5.88235294117647,5.88235294117647,,,,,,,,,,,,,,,,,5.88235294117647,,35.294117647058826,5.88235294117647,,,,5.88235294117647,,,,5.88235294117647,,,,,,11.76470588235294,5.88235294117647,,,,5.88235294117647,,,11.76470588235294,5.88235294117647,,,,,,5.88235294117647,,,,,,,,,,5.88235294117647,,11.76470588235294,
14.285714285714285,,,28.57142857142857,,,14.285714285714285,,,,,,,,,,,,,,14.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,28.57142857142857,,,,,,,,,,,,,,,14.285714285714285,,,,,,,,,,,,,
,5.263157894736842,,15.789473684210526,,,,10.526315789473683,,10.526315789473683,,,,,,,,,,,,,,,,,,10.526315789473683,,42.10526315789473,,,,,,,,,,,,,,,15.789473684210526,,,,,,,,21.052631578947366,,,15.789473684210526,,,,15.789473684210526,,,,5.263157894736842,,,,,15.789473684210526,5.263157894736842,,,
,5.88235294117647,,5.88235294117647,5.88235294117647,,5.88235294117647,11.76470588235294,,,,,,,11.76470588235294,5.88235294117647,5.88235294117647,5.88235294117647,11.76470588235294,,5.88235294117647,,,,,,,,,47.05882352941176,,,,,,,,,,11.76470588235294,,,,5.88235294117647,5.88235294117647,,,,,,,,23.52941176470588,,,5.88235294117647,,,,,,,,11.76470588235294,,,,,5.88235294117647,,,,
